metier,competences
Développeur php,Analyser des problèmes techniques. Analyser les besoins du client. Concevoir et développer les programmes et applications informatiques. Déterminer des mesures correctives. Établir un cahier des charges
Développeur php,Analyser les besoins du client. Concevoir et développer les programmes et applications informatiques. Déterminer des mesures correctives
Développeur php,Analyser des problèmes techniques. Analyser les besoins du client. Déterminer des mesures correctives. Établir un cahier des charges
Développeur php,Langage informatique Java. Langage informatique Python. Langage informatique SQL. Connaissance des protocoles Réseau. GitLab. Outils de gestion de configuration logiciel. Outils de gestion des faits techniques logiciels. Serveur Web
Développeur php,Maîtrise de Angular et/ou Flutter + ASP.NET. Analyser des problèmes techniques. Analyser les besoins du client. Concevoir et développer les programmes et applications informatiques. Déterminer des mesures correctives. Établir un cahier des charges
Développeur php,Concevoir et développer les programmes et applications informatiques. Langage informatique C#. Analyser des problèmes techniques. Langage informatique Visual Basic. Établir un cahier des charges
Développeur php,Concevoir et développer les programmes et applications informatiques. Déterminer des mesures correctives. Rédiger une Spécification Technique de Besoin (STB). Établir un cahier des charges
Développeur php,Analyser les besoins du client. Concevoir et développer les programmes et applications informatiques. Déterminer des mesures correctives. Rédiger une Spécification Technique de Besoin (STB). Établir un cahier des charges
Développeur php,Analyser des problèmes techniques. Analyser les besoins du client. Concevoir et développer les programmes et applications informatiques. Déterminer des mesures correctives. Langage informatique AutoItScript. Langage informatique C/C++. Langage informatique Python. Établir un cahier des charges
Développeur php,Analyser des problèmes techniques. Analyser les besoins du client. Concevoir et développer les programmes et applications informatiques. Déterminer des mesures correctives. Établir un cahier des charges
Développeur php,Analyser les besoins du client. Déterminer des mesures correctives. Concevoir et développer les programmes et applications informatiques. Rédiger une Spécification Technique de Besoin (STB). Établir un cahier des charges
Développeur php,Analyser des problèmes techniques. Concevoir et développer les programmes et applications informatiques. Déterminer des mesures correctives. Établir un cahier des charges
Développeur php,Analyser des problèmes techniques. Analyser les besoins du client. Concevoir et développer les programmes et applications informatiques. Déterminer des mesures correctives. Établir un cahier des charges
Développeur php,Analyser des problèmes techniques. Analyser les besoins du client. Concevoir et développer les programmes et applications informatiques. Déterminer des mesures correctives. Établir un cahier des charges
Développeur php,Analyser des problèmes techniques. Analyser les besoins du client. Concevoir et développer les programmes et applications informatiques. Déterminer des mesures correctives. Établir un cahier des charges
Développeur php,Analyser des problèmes techniques. Analyser les besoins du client. Concevoir et développer les programmes et applications informatiques. Déterminer des mesures correctives. Établir un cahier des charges
Développeur php,Analyser les besoins du client. Concevoir et développer les programmes et applications informatiques. Déterminer des mesures correctives. Rédiger une Spécification Technique de Besoin (STB). Établir un cahier des charges
Développeur php,Analyser des problèmes techniques. Analyser les besoins du client. Concevoir et développer les programmes et applications informatiques. Déterminer des mesures correctives. Établir un cahier des charges
Développeur php,Travail en équipe. Autonomie. Rigueur
Développeur php,Analyser les besoins du client. Concevoir et développer les programmes et applications informatiques. Déterminer des mesures correctives. Rédiger une Spécification Technique de Besoin (STB). Établir un cahier des charges
Développeur php,Analyser les besoins du client. Concevoir et développer les programmes et applications informatiques. Déterminer des mesures correctives
Développeur php,Analyser des problèmes techniques. Concevoir et développer les programmes et applications informatiques. Déterminer des mesures correctives
Développeur php,Analyser des problèmes techniques. Analyser les besoins du client. Concevoir et développer les programmes et applications informatiques. Déterminer des mesures correctives. Établir un cahier des charges
Développeur php,Autonomie. Rigueur. Travail en équipe
Développeur php,Analyser les besoins du client. Concevoir et développer les programmes et applications informatiques. Déterminer des mesures correctives. Rédiger une Spécification Technique de Besoin (STB). Établir un cahier des charges. développement sites web. prestashop
Développeur php,Analyser des problèmes techniques. Analyser les besoins du client. Concevoir et développer les programmes et applications informatiques. Déterminer des mesures correctives. Établir un cahier des charges
Développeur php,Analyser les besoins du client. Concevoir et développer les programmes et applications informatiques. Déterminer des mesures correctives. Rédiger une Spécification Technique de Besoin (STB). Établir un cahier des charges
Développeur php,Analyser des problèmes techniques. Analyser les besoins du client. Concevoir et développer les programmes et applications informatiques. Déterminer des mesures correctives. Informatique de gestion. Langage informatique HTML. Langage informatique PHP. Langage informatique SQL
Développeur php,Langage informatique CSS. Langage informatique HTML. Langage informatique PHP
Développeur php,Analyser des problèmes techniques. Analyser les besoins du client. Concevoir et développer les programmes et applications informatiques. Établir un cahier des charges. Déterminer des mesures correctives
Développeur php,Analyser des problèmes techniques. Analyser les besoins du client. Concevoir et développer les programmes et applications informatiques. Déterminer des mesures correctives. Établir un cahier des charges
Développeur php,Connaissance des outils web e commerce. Experience Wordpress WooCommerce. Analyser des problèmes techniques. Analyser les besoins du client. Concevoir et développer les programmes et applications informatiques. Déterminer des mesures correctives. Établir un cahier des charges
Développeur php,Analyser des problèmes techniques. Analyser les besoins du client. Concevoir et développer les programmes et applications informatiques. Déterminer des mesures correctives. Langages de programmation informatique. Établir un cahier des charges
Développeur php,environnement Linux/Apache/MySQL/No-SQL. langages JAVA et PHP. Analyser des problèmes techniques. Analyser les besoins du client. Concevoir et développer les programmes et applications informatiques. Déterminer des mesures correctives. Établir un cahier des charges. JAVA pour Android. Objective-C pour iOS
Développeur php,Analyser des problèmes techniques. Analyser les besoins du client. Concevoir et développer les programmes et applications informatiques. Déterminer des mesures correctives. Publication Assistée par Ordinateur (PAO). Établir un cahier des charges
Développeur php,Analyser des problèmes techniques. Analyser les besoins du client. Concevoir et développer les programmes et applications informatiques. Déterminer des mesures correctives. Établir un cahier des charges
Développeur php,Analyser les besoins du client. Concevoir et développer les programmes et applications informatiques. Déterminer des mesures correctives. Rédiger une Spécification Technique de Besoin (STB). Établir un cahier des charges
Développeur php,Analyser les besoins du client. Concevoir et développer les programmes et applications informatiques. Déterminer des mesures correctives. Rédiger une Spécification Technique de Besoin (STB). Établir un cahier des charges
Développeur php,Analyser des problèmes techniques. Analyser les besoins du client. Concevoir et développer les programmes et applications informatiques. Déterminer des mesures correctives. Établir un cahier des charges
Développeur php,Analyser des problèmes techniques. Analyser les besoins du client. Concevoir et développer les programmes et applications informatiques. Déterminer des mesures correctives. Établir un cahier des charges
Développeur php,"Concevoir et développer les programmes et applications informatiques. Développer une application en lien avec une base de données. Langages SQL, Windev, Webdev. Déterminer des mesures correctives. Programmer dans un langage informatique spécifique. Connaissance SSL, Chiffrement de données"
Développeur php,Analyser des problèmes techniques. Analyser les besoins du client. Concevoir et développer les programmes et applications informatiques. Déterminer des mesures correctives. Établir un cahier des charges
Développeur php,Concevoir et développer les programmes et applications informatiques. Déterminer des mesures correctives
Développeur php,Analyser des problèmes techniques. Analyser les besoins du client. Concevoir et développer les programmes et applications informatiques. Déterminer des mesures correctives. Établir un cahier des charges. Reporting
Développeur php,Analyser les besoins du client. Concevoir et développer les programmes et applications informatiques. Déterminer des mesures correctives. Rédiger une Spécification Technique de Besoin (STB). Établir un cahier des charges
Développeur php,Analyser des problèmes techniques. Analyser les besoins du client. Concevoir et développer les programmes et applications informatiques. Déterminer des mesures correctives. Établir un cahier des charges
Développeur php,Analyser les besoins du client. Concevoir et développer les programmes et applications informatiques. Déterminer des mesures correctives. Rédiger une Spécification Technique de Besoin (STB). Établir un cahier des charges
Développeur php,Analyser des problèmes techniques. Analyser les besoins du client. Concevoir et développer les programmes et applications informatiques. Déterminer des mesures correctives. Établir un cahier des charges
Développeur php,Analyser des problèmes techniques. Analyser les besoins du client. Concevoir et développer les programmes et applications informatiques. Déterminer des mesures correctives. Établir un cahier des charges
Développeur php,Analyser des problèmes techniques. Analyser les besoins du client. Concevoir et développer les programmes et applications informatiques. Établir un cahier des charges. Déterminer des mesures correctives
Développeur php,Analyser les besoins du client. Concevoir et développer les programmes et applications informatiques. KOTLIN. Rédiger une Spécification Technique de Besoin (STB). Déterminer des mesures correctives. Établir un cahier des charges. ANDROID. FLUTTER. IOS
Développeur php,Analyser les besoins du client. Concevoir et développer les programmes et applications informatiques. Déterminer des mesures correctives. Rédiger une Spécification Technique de Besoin (STB). Établir un cahier des charges
Développeur php,Analyser des problèmes techniques. Analyser les besoins du client. Concevoir et développer les programmes et applications informatiques. Déterminer des mesures correctives. Établir un cahier des charges
Développeur php,Analyser des problèmes techniques. Analyser les besoins du client. Concevoir et développer les programmes et applications informatiques. Déterminer des mesures correctives. Établir un cahier des charges
Développeur php,Analyser des problèmes techniques. Analyser les besoins du client. Concevoir et développer les programmes et applications informatiques. Déterminer des mesures correctives. Établir un cahier des charges
Développeur php,Analyser des problèmes techniques. Analyser les besoins du client. Concevoir et développer les programmes et applications informatiques. Déterminer des mesures correctives. Établir un cahier des charges
Développeur php,Analyser des problèmes techniques. Analyser les besoins du client. Concevoir et développer les programmes et applications informatiques. Déterminer des mesures correctives. Établir un cahier des charges
Développeur php,Analyser des problèmes techniques. Analyser les besoins du client. Concevoir et développer les programmes et applications informatiques. Déterminer des mesures correctives. Établir un cahier des charges
Développeur php,Force de proposition. Travail en équipe. Autonomie
Développeur php,Analyser des problèmes techniques. Analyser les besoins du client. Concevoir et développer les programmes et applications informatiques. Déterminer des mesures correctives. Établir un cahier des charges
Développeur php,Autonomie. Rigueur
Développeur php,Analyser des problèmes techniques. Architecture des systèmes d'information. Concevoir et développer les programmes et applications informatiques. Déterminer des mesures correctives. Méthode AGILE. Établir un cahier des charges
Développeur php,Analyser les besoins du client. Concevoir et développer les programmes et applications informatiques. Déterminer des mesures correctives. Rédiger une Spécification Technique de Besoin (STB). Établir un cahier des charges
Développeur php,Réactivité. Travail en équipe. Sens de la communication
Développeur php,Concevoir et développer les programmes et applications informatiques. Déterminer des mesures correctives. Analyser les besoins du client. Rédiger une Spécification Technique de Besoin (STB). Établir un cahier des charges
Développeur php,Analyser des problèmes techniques. Analyser les besoins du client. Concevoir et développer les programmes et applications informatiques. Déterminer des mesures correctives. Établir un cahier des charges
Développeur php,Analyser des problèmes techniques. Analyser les besoins du client. Concevoir et développer les programmes et applications informatiques. Déterminer des mesures correctives. Établir un cahier des charges
Développeur php,Analyser des problèmes techniques. Analyser les besoins du client. Concevoir et développer les programmes et applications informatiques. Déterminer des mesures correctives. Établir un cahier des charges. SalonduNumérique
Développeur php,Analyser des problèmes techniques. Analyser les besoins du client. Concevoir et développer les programmes et applications informatiques. Déterminer des mesures correctives. Établir un cahier des charges. SalonduNumérique
Développeur php,Analyser des problèmes techniques. Analyser les besoins du client. Concevoir et développer les programmes et applications informatiques. Déterminer des mesures correctives. Établir un cahier des charges
Développeur php,Analyser des problèmes techniques. Analyser les besoins du client. Concevoir et développer les programmes et applications informatiques. Déterminer des mesures correctives. Établir un cahier des charges
Développeur php,Analyser des problèmes techniques. Analyser les besoins du client. Concevoir et développer les programmes et applications informatiques. Déterminer des mesures correctives. Établir un cahier des charges
Technicien télécom,Assembler les éléments de l'équipement. Connecter une boîte de raccordements. Identifier les matériels à intégrer. Installer l'équipement sur le site et le connecter aux réseaux extérieurs. Chiffrage/calcul de coût
Technicien télécom,Assembler les éléments de l'équipement. Chiffrage/calcul de coût. Connecter une boîte de raccordements. Identifier les matériels à intégrer. Installer l'équipement sur le site et le connecter aux réseaux extérieurs
Technicien télécom,Assembler les éléments de l'équipement. Chiffrage/calcul de coût. Connecter une boîte de raccordements. Identifier les matériels à intégrer. Installer l'équipement sur le site et le connecter aux réseaux extérieurs
Technicien télécom,Assembler les éléments de l'équipement. Chiffrage/calcul de coût. Connecter une boîte de raccordements. Identifier les matériels à intégrer. Installer l'équipement sur le site et le connecter aux réseaux extérieurs
Technicien télécom,Assembler les éléments de l'équipement. Chiffrage/calcul de coût. Connecter une boîte de raccordements. Identifier les matériels à intégrer. Installer l'équipement sur le site et le connecter aux réseaux extérieurs
Technicien télécom,Assembler les éléments de l'équipement. Connecter une boîte de raccordements. Identifier les matériels à intégrer. Installer l'équipement sur le site et le connecter aux réseaux extérieurs. Intervenir sur des réseaux
Technicien télécom,Installer l'équipement sur le site et le connecter aux réseaux extérieurs
Technicien télécom,Assembler les éléments de l'équipement. Chiffrage/calcul de coût. Connecter une boîte de raccordements. Identifier les matériels à intégrer. Installer l'équipement sur le site et le connecter aux réseaux extérieurs. Assister et / ou aider un client. Connaissances en câblage. informatique. Intervenir sur des réseaux. Systèmes d'alarme. systèmes de vidéo surveillance IP. Systèmes téléphoniques. Téléphonie / Routeurs / Switch. Équipements de télécommunication
Technicien télécom,"Actualiser et faire évoluer les équipements de télécommunication ou de courants faibles. Assembler les éléments de l'équipement. Assister un utilisateur à distance. Configurer ou paramétrer l'équipement de télécommunication, de courants faibles et effectuer les essais fonctionnels. Connecter une boîte de raccordements. Conseiller une clientèle ou un public. Identifier les matériels à intégrer. Informatique. Installer l'équipement sur le site et le connecter aux réseaux extérieurs. Intervenir sur des réseaux. Remettre les systèmes en état de fonctionnement par échange standard ou réfection d'ensemble ou de sous-ensemble. Réseaux informatiques et télécoms. Systèmes de sécurité-incendie. Équipements de télécommunication"
Technicien télécom,"Automatisme. Caractéristiques des dossiers de maintenance. Caractéristiques des dossiers techniques. Identifier des modalités d'intervention. Réparer l'installation par le remplacement et la remise en état des dispositifs électriques, électroniques, mécaniques, pneumatiques, hydrauliques"
Technicien télécom,"Classer les documents, informations et fonds documentaires d'une activité. Concevoir un tableau de bord. Outils bureautiques. Réaliser un suivi d'activité. Saisir des documents numériques"
Technicien télécom,Assembler les éléments de l'équipement. Connecter une boîte de raccordements. Identifier les matériels à intégrer. Installer l'équipement sur le site et le connecter aux réseaux extérieurs. Remettre les systèmes en état de fonctionnement par échange standard ou réfection d'ensemble ou de sous-ensemble
Technicien télécom,Assembler les éléments de l'équipement. Connecter une boîte de raccordements. Identifier les matériels à intégrer. Installer l'équipement sur le site et le connecter aux réseaux extérieurs. Remettre les systèmes en état de fonctionnement par échange standard ou réfection d'ensemble ou de sous-ensemble
Technicien télécom,PREMIS B. Assembler les éléments de l'équipement. Connecter une boîte de raccordements. Identifier les matériels à intégrer. Installer l'équipement sur le site et le connecter aux réseaux extérieurs. Renseigner les supports de suivi d'intervention et transmettre les informations au service concerné
Technicien télécom,Assembler les éléments de l'équipement. Connecter une boîte de raccordements. Identifier les matériels à intégrer. Installer l'équipement sur le site et le connecter aux réseaux extérieurs. Renseigner les supports de suivi d'intervention et transmettre les informations au service concerné
Technicien télécom,Autonomie. Sens de l'organisation. Rigueur
Technicien télécom,"Assembler les éléments de l'équipement. Configurer ou paramétrer l'équipement de télécommunication, de courants faibles et effectuer les essais fonctionnels. Connecter une boîte de raccordements. Identifier les matériels à intégrer. Installer l'équipement sur le site et le connecter aux réseaux extérieurs. Intervenir sur des réseaux. Réseaux informatiques et télécoms. Équipements de télécommunication"
Technicien télécom,Curiosité. Autonomie. Rigueur
Technicien télécom,"Concevoir un projet télécom. Définir et élaborer les spécifications fonctionnelles et techniques d'un réseau, d'équipements télécoms (matériel, logiciel, implantation). Logiciels de modélisation et simulation. Recueillir et définir les besoins de l'entreprise, des clients, des utilisateurs en matière de systèmes télécoms (capacité, fiabilité, sécurité, ...)"
Technicien télécom,Assembler les éléments de l'équipement. Connecter une boîte de raccordements. Identifier les matériels à intégrer. Installer l'équipement sur le site et le connecter aux réseaux extérieurs. Réseaux ADSL. Réseaux de fibre optique Fiber To The Home (FTTH)
Technicien télécom,Assembler les éléments de l'équipement. Connecter une boîte de raccordements. Identifier les matériels à intégrer. Installer l'équipement sur le site et le connecter aux réseaux extérieurs. Intervenir sur des réseaux
Technicien télécom,Assembler les éléments de l'équipement. Connecter une boîte de raccordements. Identifier les matériels à intégrer. Installer l'équipement sur le site et le connecter aux réseaux extérieurs. Intervenir sur des réseaux
Technicien télécom,Assembler les éléments de l'équipement. Chiffrage/calcul de coût. Connecter une boîte de raccordements. Identifier les matériels à intégrer. Installer l'équipement sur le site et le connecter aux réseaux extérieurs
Technicien télécom,Assembler les éléments de l'équipement. Connecter une boîte de raccordements. Identifier les matériels à intégrer. Installer l'équipement sur le site et le connecter aux réseaux extérieurs. Intervenir sur des réseaux
Technicien télécom,"Assembler les éléments de l'équipement. Assister un utilisateur à distance. Configurer ou paramétrer l'équipement de télécommunication, de courants faibles et effectuer les essais fonctionnels. Connecter une boîte de raccordements. Conseiller une clientèle ou un public. Identifier les matériels à intégrer. Informatique. Installation de téléphonie numérique. Installation de téléphonie sans fils. Installer l'équipement sur le site et le connecter aux réseaux extérieurs. Organisation d'une baie de brassage. Protocoles et normes télécoms. Protocoles IP. Renseigner les supports de suivi d'intervention et transmettre les informations au service concerné. Réseaux ADSL. Réseaux de fibre optique Fiber To The Home (FTTH). Réseaux Digital Subscriber Line (DSL). Réseaux Digital System for Mobile Communications (DECT). Réseaux informatiques et télécoms. Réseaux Local Area Network (LAN). Réseaux Private Automatic Branch eXchange (PABX). Vérifier la conformité de l'installation sur site, help desk, hot line. Équipements de télécommunication"
Technicien télécom,Analyser les besoins du client. Analyser les données économiques du projet. Définir la faisabilité et la rentabilité d'un projet. Définir un avant-projet. Élaborer des solutions techniques et financières
Technicien télécom,Assembler les éléments de l'équipement. Chiffrage/calcul de coût. Connecter une boîte de raccordements. Identifier les matériels à intégrer. Installer l'équipement sur le site et le connecter aux réseaux extérieurs
Technicien télécom,"Actualiser et faire évoluer les équipements de télécommunication ou de courants faibles. Assembler les éléments de l'équipement. Assister un utilisateur à distance. Configurer ou paramétrer l'équipement de télécommunication, de courants faibles et effectuer les essais fonctionnels. Connecter une boîte de raccordements. Conseiller une clientèle ou un public. Identifier les matériels à intégrer. Informatique. Installer l'équipement sur le site et le connecter aux réseaux extérieurs. Intervenir sur des réseaux. Remettre les systèmes en état de fonctionnement par échange standard ou réfection d'ensemble ou de sous-ensemble. Réseaux informatiques et télécoms. Systèmes de sécurité-incendie. Équipements de télécommunication"
Technicien télécom,Assembler les éléments de l'équipement. Chiffrage/calcul de coût. Connecter une boîte de raccordements. Identifier les matériels à intégrer. Installer l'équipement sur le site et le connecter aux réseaux extérieurs. Assister et / ou aider un client. Connaissances en câblage. informatique. Intervenir sur des réseaux. Systèmes d'alarme. systèmes de vidéo surveillance IP. Systèmes téléphoniques. Téléphonie / Routeurs / Switch. Équipements de télécommunication
Technicien télécom,"Concevoir et décliner la mise en oeuvre de la stratégie technique de l'opérateur télécoms. Concevoir le design, les spécifications ou configurations d'un réseau télécoms. Concevoir un projet télécom. Conseiller un utilisateur dans des choix de technologies, de matériels, de logiciels. Recueillir et définir les besoins de l'entreprise, des clients, des utilisateurs en matière de systèmes télécoms (capacité, fiabilité, sécurité, ...). Réseaux de télécommunication. Réseaux informatiques et télécoms"
Technicien télécom,Assembler les éléments de l'équipement. Chiffrage/calcul de coût. Connecter une boîte de raccordements. Identifier les matériels à intégrer. Installer l'équipement sur le site et le connecter aux réseaux extérieurs
Technicien télécom,"Assembler les éléments de l'équipement. Chiffrage/calcul de coût. Connecter une boîte de raccordements. Identifier les matériels à intégrer. Identifier les phases d'intervention à partir des informations du diagnostic help desk, de la hot line, des dossiers constructeur. Installer l'équipement sur le site et le connecter aux réseaux extérieurs"
Technicien télécom,Assembler les éléments de l'équipement. Connecter une boîte de raccordements. Identifier les matériels à intégrer. Installer l'équipement sur le site et le connecter aux réseaux extérieurs. Renseigner les supports de suivi d'intervention et transmettre les informations au service concerné
Technicien télécom,Assembler les éléments de l'équipement. Connecter une boîte de raccordements. Identifier les matériels à intégrer. Installer l'équipement sur le site et le connecter aux réseaux extérieurs. Remettre les systèmes en état de fonctionnement par échange standard ou réfection d'ensemble ou de sous-ensemble
Technicien télécom,Assembler les éléments de l'équipement. Connecter une boîte de raccordements. Identifier les matériels à intégrer. Installer l'équipement sur le site et le connecter aux réseaux extérieurs. Renseigner les supports de suivi d'intervention et transmettre les informations au service concerné
Technicien télécom,Assembler les éléments de l'équipement. Connecter une boîte de raccordements. Identifier les matériels à intégrer. Installer l'équipement sur le site et le connecter aux réseaux extérieurs. Intervenir sur des réseaux
Technicien télécom,Assembler les éléments de l'équipement. Connecter une boîte de raccordements. Identifier les matériels à intégrer. Installer l'équipement sur le site et le connecter aux réseaux extérieurs
Technicien télécom,Assembler les éléments de l'équipement. Connecter une boîte de raccordements. Identifier les matériels à intégrer. Installer l'équipement sur le site et le connecter aux réseaux extérieurs. Intervenir sur des réseaux
Technicien télécom,"Assister techniquement les services de l'entreprise ou les clients. Réaliser des études et des essais en électronique. Réaliser ou faire évoluer les schémas, les plans à partir des fonctionnalités et caractéristiques du système électrique ou électronique. Sélectionner les composants électroniques, électriques à partir de bases de données, de nomenclatures fournisseurs. Vérifier par simulation, tests, essais, calculs, les fonctionnalités et les caractéristiques du système électrique ou électronique"
Technicien télécom,Assembler les éléments de l'équipement. Connecter une boîte de raccordements. Identifier les matériels à intégrer. Installer l'équipement sur le site et le connecter aux réseaux extérieurs
Technicien télécom,Assembler les éléments de l'équipement. Connecter une boîte de raccordements. Identifier les matériels à intégrer. Installer l'équipement sur le site et le connecter aux réseaux extérieurs. Intervenir sur des réseaux
Technicien télécom,Assembler les éléments de l'équipement. Connecter une boîte de raccordements. Identifier les matériels à intégrer. Installer l'équipement sur le site et le connecter aux réseaux extérieurs. Intervenir sur des réseaux
Technicien télécom,Assembler les éléments de l'équipement. Connecter une boîte de raccordements. Identifier les matériels à intégrer. Installer l'équipement sur le site et le connecter aux réseaux extérieurs. Intervenir sur des réseaux
Technicien télécom,Assembler les éléments de l'équipement. Connecter une boîte de raccordements. Identifier les matériels à intégrer. Installer l'équipement sur le site et le connecter aux réseaux extérieurs. Intervenir sur des réseaux
Technicien télécom,Assembler les éléments de l'équipement. Connecter une boîte de raccordements. Identifier les matériels à intégrer. Installer l'équipement sur le site et le connecter aux réseaux extérieurs. Remettre les systèmes en état de fonctionnement par échange standard ou réfection d'ensemble ou de sous-ensemble
Technicien télécom,Identifier les matériels à intégrer. Installer l'équipement sur le site et le connecter aux réseaux extérieurs. Remettre les systèmes en état de fonctionnement par échange standard ou réfection d'ensemble ou de sous-ensemble. Renseigner les supports de suivi d'intervention et transmettre les informations au service concerné
Technicien télécom,Assembler les éléments de l'équipement. Connecter une boîte de raccordements. Identifier les matériels à intégrer. Installer l'équipement sur le site et le connecter aux réseaux extérieurs. Remettre les systèmes en état de fonctionnement par échange standard ou réfection d'ensemble ou de sous-ensemble
Technicien télécom,Assembler les éléments de l'équipement. Connecter une boîte de raccordements. Identifier les matériels à intégrer. Installer l'équipement sur le site et le connecter aux réseaux extérieurs. Remettre les systèmes en état de fonctionnement par échange standard ou réfection d'ensemble ou de sous-ensemble
Consultant informatique,Analyser les processus métier. Définir des solutions fonctionnelles. Définir la faisabilité et la rentabilité d'un projet. Présenter les évolutions du système d'information au commanditaire. Recenser les besoins du commanditaire
Consultant informatique,Analyser les processus métier. Définir des solutions fonctionnelles
Consultant informatique,Analyser les processus métier. Définir des solutions fonctionnelles. Définir la faisabilité et la rentabilité d'un projet. Présenter les évolutions du système d'information au commanditaire. Recenser les besoins du commanditaire
Consultant informatique,Analyser les processus métier. Définir des solutions fonctionnelles. Définir la faisabilité et la rentabilité d'un projet. Présenter les évolutions du système d'information au commanditaire. Recenser les besoins du commanditaire
Consultant informatique,Analyser les processus métier. Définir des solutions fonctionnelles. Définir la faisabilité et la rentabilité d'un projet. Présenter les évolutions du système d'information au commanditaire. Recenser les besoins du commanditaire
Consultant informatique,"Connaissance solides réseaux, XML, algorithmie. Connaissance solides sur Linux. connaissances solides Oracle, Tomcat. sens du service client. Analyser les processus métier. Définir des solutions fonctionnelles. Définir la faisabilité et la rentabilité d'un projet. Présenter les évolutions du système d'information au commanditaire. Recenser les besoins du commanditaire. Connaissances en échanges de données (EDI, EAI)"
Consultant informatique,Définir des solutions fonctionnelles. Présenter les évolutions du système d'information au commanditaire. Recenser les besoins du commanditaire. Analyser les processus métier. Définir la faisabilité et la rentabilité d'un projet
Consultant informatique,Analyser les processus métier. Architecture réseau. Définir des solutions fonctionnelles. Définir la faisabilité et la rentabilité d'un projet. Présenter les évolutions du système d'information au commanditaire. Recenser les besoins du commanditaire. Réseaux informatiques et télécoms
Consultant informatique,Réactivité. Sens de la communication. Autonomie
Consultant informatique,Réactivité. Sens de la communication. Autonomie
Consultant informatique,Analyser les processus métier. Définir des solutions fonctionnelles. Définir la faisabilité et la rentabilité d'un projet. Présenter les évolutions du système d'information au commanditaire. Recenser les besoins du commanditaire
Consultant informatique,Analyser les processus métier. Définir des solutions fonctionnelles. Définir la faisabilité et la rentabilité d'un projet. Recenser les besoins du commanditaire. Présenter les évolutions du système d'information au commanditaire
Consultant informatique,Analyser des problèmes techniques. Analyser les besoins du client. Concevoir et développer les programmes et applications informatiques. Déterminer des mesures correctives. Déterminer les phases et procédures de tests techniques et fonctionnels de programmes et applications informatiques
Consultant informatique,Analyser des problèmes techniques. Analyser les besoins du client. Concevoir et développer les programmes et applications informatiques. Déterminer des mesures correctives. Programmation informatique. Programmer dans un langage informatique spécifique. Algorithmique. Développer une application en lien avec une base de données. Programmation logicielle
Consultant informatique,Analyser les processus métier. Définir des solutions fonctionnelles. Définir la faisabilité et la rentabilité d'un projet. Présenter les évolutions du système d'information au commanditaire. Recenser les besoins du commanditaire
Consultant informatique,Négocier un contrat. Suivre la réalisation d'une prestation technique. Établir un contrat de vente. Établir un devis
Consultant informatique,"Mener ou accompagner un projet d'intégration (implémentation) ou de développement de solutions matérielles, logicielles. Principes d'intégration de matériels et de logiciels"
Consultant informatique,"Analyser les processus métier. Déployer des applications. Mettre en oeuvre des préconisations fonctionnelles et techniques. Procéder aux phases de tests et de recettes des applications développées. Présenter les évolutions du système d'information au commanditaire. Recenser les besoins du commanditaire. Réaliser des études d'urbanisme des systèmes d'information de l'entreprise. Traiter l'information (collecter, classer et mettre à jour). Architecture des systèmes d'information. Définir des solutions fonctionnelles. Définir la faisabilité et la rentabilité d'un projet. Définir les évolutions d'un système d'information. Former du personnel à des procédures et techniques. Modélisation informatique. Méthodes d'analyse (systémique, fonctionnelle, de risques, ...). Règlement Général européen sur la Protection des Données (RGPD). Technologie de l'internet. Établir un cahier des charges"
Consultant informatique,Analyser les besoins du client. Concevoir et développer les programmes et applications informatiques. Déterminer des mesures correctives. Rédiger une Spécification Technique de Besoin (STB). Établir un cahier des charges
Consultant informatique,Analyser les processus métier. Définir des solutions fonctionnelles. Définir la faisabilité et la rentabilité d'un projet. Présenter les évolutions du système d'information au commanditaire. Recenser les besoins du commanditaire
Consultant informatique,Analyser les processus métier. Définir des solutions fonctionnelles. Définir la faisabilité et la rentabilité d'un projet. Présenter les évolutions du système d'information au commanditaire. Recenser les besoins du commanditaire
Consultant informatique,Réactivité. Sens de la communication. Autonomie
Consultant informatique,Analyser les processus métier. Définir des solutions fonctionnelles. Définir la faisabilité et la rentabilité d'un projet. Présenter les évolutions du système d'information au commanditaire. Recenser les besoins du commanditaire
Consultant informatique,Configurer le poste de travail aux besoins de l'utilisateur et effectuer les tests de fonctionnement. Diagnostiquer à distance un dysfonctionnement informatique matériel ou logiciel. Guider l'utilisateur pour résoudre le dysfonctionnement ou prendre le contrôle du système à distance. Identifier des ressources nécessaires à la résolution d'un dysfonctionnement. Renseigner les supports de suivi d'intervention et transmettre les informations au service concerné
Consultant informatique,Analyser les processus métier. Définir des solutions fonctionnelles. Définir la faisabilité et la rentabilité d'un projet. Présenter les évolutions du système d'information au commanditaire. Recenser les besoins du commanditaire
Consultant informatique,Analyser les processus métier. Définir des solutions fonctionnelles. Définir la faisabilité et la rentabilité d'un projet. Présenter les évolutions du système d'information au commanditaire. Recenser les besoins du commanditaire
Consultant informatique,Analyser les besoins d'un projet. Concevoir l'architecture d'un système d'information. Concevoir les solutions techniques. Évaluer le résultat de ses actions. Définir les caractéristiques techniques du produit
Consultant informatique,Analyser les besoins du client. Concevoir et développer les programmes et applications informatiques. Déterminer des mesures correctives. Rédiger une Spécification Technique de Besoin (STB). Établir un cahier des charges. SalonduNumérique
